"Time","Date","---","Sensor Name","Data"
"12:21:45","7/11/17","DATA","PRESSURE_S:","1012.40"
"12:21:46","7/11/17","DATA","PRESSURE_S:","1011.50"
"12:21:48","7/11/17","DATA","PRESSURE_S:","1011.30"
"12:21:50","7/11/17","DATA","PRESSURE_S:","1011.00"
"12:21:52","7/11/17","DATA","PRESSURE_S:","1011.30"
"12:21:55","7/11/17","DATA","PRESSURE_S:","1011.80"
"12:21:56","7/11/17","DATA","PRESSURE_S:","1012.10"
"12:21:59","7/11/17","DATA","PRESSURE_S:","1012.10"
"12:22:00","7/11/17","DATA","PRESSURE_S:","1012.40"
"12:23:50","7/11/17","DATA","PRESSURE_S:","1012.10"
"12:23:53","7/11/17","DATA","PRESSURE_S:","1011.00"
"12:23:54","7/11/17","DATA","PRESSURE_S:","1011.30"
"12:23:57","7/11/17","DATA","PRESSURE_S:","1006.00"
"12:23:58","7/11/17","DATA","PRESSURE_S:","978.20"
"12:24:01","7/11/17","DATA","PRESSURE_S:","942.90"
"12:24:03","7/11/17","DATA","PRESSURE_S:","902.60"
"12:24:05","7/11/17","DATA","PRESSURE_S:","853.90"
"12:24:07","7/11/17","DATA","PRESSURE_S:","820.50"
"12:24:08","7/11/17","DATA","PRESSURE_S:","789.40"
"12:24:11","7/11/17","DATA","PRESSURE_S:","752.10"
"12:24:12","7/11/17","DATA","PRESSURE_S:","726.20"
"12:24:15","7/11/17","DATA","PRESSURE_S:","693.90"
"12:24:16","7/11/17","DATA","PRESSURE_S:","670.80"
"12:24:19","7/11/17","DATA","PRESSURE_S:","641.90"
"12:24:20","7/11/17","DATA","PRESSURE_S:","620.80"
"12:24:23","7/11/17","DATA","PRESSURE_S:","594.40"
"12:24:25","7/11/17","DATA","PRESSURE_S:","576.40"
"12:24:27","7/11/17","DATA","PRESSURE_S:","552.00"
"12:24:29","7/11/17","DATA","PRESSURE_S:","534.80"
"12:24:30","7/11/17","DATA","PRESSURE_S:","517.90"
"12:24:33","7/11/17","DATA","PRESSURE_S:","497.10"
"12:24:34","7/11/17","DATA","PRESSURE_S:","481.90"
"12:24:37","7/11/17","DATA","PRESSURE_S:","461.90"
"12:24:38","7/11/17","DATA","PRESSURE_S:","447.30"
"12:24:41","7/11/17","DATA","PRESSURE_S:","429.00"
"12:24:43","7/11/17","DATA","PRESSURE_S:","415.80"
"12:24:45","7/11/17","DATA","PRESSURE_S:","399.20"
"12:24:47","7/11/17","DATA","PRESSURE_S:","386.20"
"12:24:49","7/11/17","DATA","PRESSURE_S:","370.80"
"12:24:51","7/11/17","DATA","PRESSURE_S:","358.60"
"12:24:52","7/11/17","DATA","PRESSURE_S:","347.30"
"12:24:55","7/11/17","DATA","PRESSURE_S:","333.00"
"12:24:56","7/11/17","DATA","PRESSURE_S:","322.80"
"12:24:59","7/11/17","DATA","PRESSURE_S:","309.00"
"12:25:00","7/11/17","DATA","PRESSURE_S:","300.20"
"12:25:03","7/11/17","DATA","PRESSURE_S:","287.00"
"12:25:05","7/11/17","DATA","PRESSURE_S:","278.80"
"12:25:07","7/11/17","DATA","PRESSURE_S:","267.20"
"12:25:09","7/11/17","DATA","PRESSURE_S:","258.70"
"12:25:11","7/11/17","DATA","PRESSURE_S:","247.90"
"12:25:13","7/11/17","DATA","PRESSURE_S:","239.40"
"12:25:14","7/11/17","DATA","PRESSURE_S:","231.70"
"12:25:17","7/11/17","DATA","PRESSURE_S:","221.80"
"12:25:18","7/11/17","DATA","PRESSURE_S:","214.90"
"12:25:21","7/11/17","DATA","PRESSURE_S:","205.60"
"12:25:23","7/11/17","DATA","PRESSURE_S:","198.70"
"12:25:25","7/11/17","DATA","PRESSURE_S:","190.50"
"12:25:27","7/11/17","DATA","PRESSURE_S:","184.70"
"12:25:29","7/11/17","DATA","PRESSURE_S:","176.20"
"12:25:31","7/11/17","DATA","PRESSURE_S:","170.20"
"12:25:33","7/11/17","DATA","PRESSURE_S:","162.20"
"12:25:35","7/11/17","DATA","PRESSURE_S:","157.20"
"12:25:36","7/11/17","DATA","PRESSURE_S:","152.00"
"12:25:39","7/11/17","DATA","PRESSURE_S:","145.40"
"12:25:40","7/11/17","DATA","PRESSURE_S:","140.50"
"12:25:43","7/11/17","DATA","PRESSURE_S:","134.70"
"12:25:45","7/11/17","DATA","PRESSURE_S:","130.00"
"12:25:47","7/11/17","DATA","PRESSURE_S:","124.60"
"12:25:49","7/11/17","DATA","PRESSURE_S:","120.20"
"12:25:51","7/11/17","DATA","PRESSURE_S:","114.40"
"12:25:53","7/11/17","DATA","PRESSURE_S:","110.30"
"12:25:55","7/11/17","DATA","PRESSURE_S:","105.30"
"12:25:57","7/11/17","DATA","PRESSURE_S:","102.30"
"12:25:58","7/11/17","DATA","PRESSURE_S:","99.00"
"12:26:01","7/11/17","DATA","PRESSURE_S:","94.00"
"12:26:02","7/11/17","DATA","PRESSURE_S:","91.20"
"12:26:05","7/11/17","DATA","PRESSURE_S:","87.10"
"12:26:07","7/11/17","DATA","PRESSURE_S:","84.30"
"12:26:09","7/11/17","DATA","PRESSURE_S:","80.20"
"12:26:11","7/11/17","DATA","PRESSURE_S:","77.70"
"12:26:13","7/11/17","DATA","PRESSURE_S:","74.00"
"12:26:15","7/11/17","DATA","PRESSURE_S:","72.40"
"12:26:17","7/11/17","DATA","PRESSURE_S:","68.80"
"12:26:19","7/11/17","DATA","PRESSURE_S:","65.70"
"12:26:20","7/11/17","DATA","PRESSURE_S:","63.50"
"12:26:23","7/11/17","DATA","PRESSURE_S:","60.70"
"12:26:25","7/11/17","DATA","PRESSURE_S:","59.30"
"12:26:27","7/11/17","DATA","PRESSURE_S:","56.20"
"12:26:29","7/11/17","DATA","PRESSURE_S:","54.60"
"12:26:31","7/11/17","DATA","PRESSURE_S:","51.50"
"12:26:33","7/11/17","DATA","PRESSURE_S:","50.10"
"12:26:35","7/11/17","DATA","PRESSURE_S:","48.10"
"12:26:37","7/11/17","DATA","PRESSURE_S:","45.90"
"12:26:39","7/11/17","DATA","PRESSURE_S:","44.00"
"12:26:41","7/11/17","DATA","PRESSURE_S:","42.30"
"12:26:42","7/11/17","DATA","PRESSURE_S:","41.10"
"12:26:45","7/11/17","DATA","PRESSURE_S:","38.60"
"12:26:47","7/11/17","DATA","PRESSURE_S:","37.20"
"12:26:49","7/11/17","DATA","PRESSURE_S:","36.10"
"12:26:51","7/11/17","DATA","PRESSURE_S:","34.40"
"12:26:53","7/11/17","DATA","PRESSURE_S:","32.70"
"12:26:55","7/11/17","DATA","PRESSURE_S:","31.80"
"12:26:57","7/11/17","DATA","PRESSURE_S:","30.40"
"12:26:59","7/11/17","DATA","PRESSURE_S:","29.00"
"12:27:01","7/11/17","DATA","PRESSURE_S:","27.60"
"12:27:03","7/11/17","DATA","PRESSURE_S:","27.00"
"12:27:05","7/11/17","DATA","PRESSURE_S:","25.90"
"12:27:07","7/11/17","DATA","PRESSURE_S:","24.70"
"12:27:09","7/11/17","DATA","PRESSURE_S:","24.10"
"12:27:11","7/11/17","DATA","PRESSURE_S:","22.70"
"12:27:13","7/11/17","DATA","PRESSURE_S:","21.60"
"12:27:15","7/11/17","DATA","PRESSURE_S:","21.00"
"12:27:17","7/11/17","DATA","PRESSURE_S:","19.30"
"12:27:19","7/11/17","DATA","PRESSURE_S:","18.70"
"12:27:21","7/11/17","DATA","PRESSURE_S:","18.10"
"12:27:23","7/11/17","DATA","PRESSURE_S:","17.20"
"12:27:25","7/11/17","DATA","PRESSURE_S:","15.60"
"12:27:27","7/11/17","DATA","PRESSURE_S:","15.80"
"12:27:29","7/11/17","DATA","PRESSURE_S:","15.50"
"12:27:31","7/11/17","DATA","PRESSURE_S:","14.90"
"12:27:33","7/11/17","DATA","PRESSURE_S:","13.70"
"12:27:35","7/11/17","DATA","PRESSURE_S:","13.20"
